Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0603,3,0.1uf,
"C3, C7",0603,2,0.1u,
"C5, C6, C8, C9",0603,4,1uf,
"D1, D2, D3, D4, D5, D6",0603,6,LED,
"J1, J2",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,2,Conn_01x04,
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J5,PinSocket_1x18_P2.54mm_Horizontal,1,Conn_01x18,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
R1,0603,1,10k,
"R10, R4, R6, R7, R8, R9",0603,6,1k,
"R2, R3",0603,2,4.7k,
R5,0603,1,120,
SW1,switch_TVAF06-A020B-R,1,SW_Push,
U1,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,MCP2562-E-MF,
U2,WDFN-12-1EP_3x3mm_P0.45mm_EP1.7x2.5mm,1,FT234XD,
"U3, U4",SOT-23-5,2,XC8111AA01MR-G,
