Designator,Mid X,Mid Y,Rotation,Layer
C1,27.8,-24.4,180.0,top
C2,30.2,-19.0,180.0,top
C3,67.8,-25.2,90.0,top
C4,69.6,-33.4,270.0,top
C6,67.2,-33.8,270.0,top
C7,56.4,-27.8,180.0,top
C8,53.0,-26.8,270.0,top
C9,53.8,-19.8,0.0,top
D1,74.8,-29.4,180.0,top
D2,52.0,-35.6,90.0,top
D3,74.8,-26.2,180.0,top
D4,17.6,-29.4,0.0,top
D5,17.6,-26.4,0.0,top
D6,17.6,-23.4,0.0,top
J1,29.65,-28.3,0.0,top
J2,43.25,-28.3,0.0,top
J3,59.6,-34.0,0.0,top
J4,45.0,-21.275,0.0,top
J5,46.45,-16.4,270.0,top
JP1,36.4,-21.995,0.0,top
R1,68.2,-36.4,180.0,top
R10,21.2,-23.4,0.0,top
R2,62.0,-27.4,0.0,top
R3,56.4,-26.2,180.0,top
R4,74.8,-27.8,0.0,top
R5,33.8,-23.0,270.0,top
R6,52.0,-32.1125,90.0,top
R7,74.8,-24.6,0.0,top
R8,21.2,-29.4,0.0,top
R9,21.2,-26.4,0.0,top
U1,31.325,-22.1875,180.0,top
U2,67.6,-29.225,90.0,top
U3,54.0,-22.8,270.0,top
